date,contract_preamble,expiry_date,mean,median,mode,skewness,kurtosis,variance
2022-03-09,ACPI-22,2023-01-11,5.868998006885305,7.5,7.5,-1.0000000000000002,-1.8327566509004545,2.9329653123714583
2022-03-09,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-09,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-10,ACPI-22,2023-01-11,5.821546961325967,5.5,7.5,0.2782809247904596,-1.3990890299606462,1.9849403433422452
2022-03-10,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-10,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-11,ACPI-22,2023-01-11,5.887755102040817,5.5,7.5,0.3333333333333339,-1.364371243505386,1.9925031236984592
2022-03-11,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-11,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-12,ACPI-22,2023-01-11,5.887755102040817,5.5,7.5,0.3333333333333339,-1.364371243505386,1.9925031236984592
2022-03-12,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-12,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-13,ACPI-22,2023-01-11,5.887755102040817,5.5,7.5,0.3333333333333339,-1.364371243505386,1.9925031236984592
2022-03-13,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-13,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-14,ACPI-22,2023-01-11,6.041160593792173,6.5,6.5,-0.4722222222222216,-0.8478163032194126,1.4088995976914154
2022-03-14,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-14,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-15,ACPI-22,2023-01-11,6.041160593792173,6.5,6.5,-0.4722222222222216,-0.8478163032194126,1.4088995976914154
2022-03-15,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-15,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-16,ACPI-22,2023-01-11,5.955231422219227,6.5,6.5,-0.5154915211016201,-1.0804287269094828,1.493431333292776
2022-03-16,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-16,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-17,ACPI-22,2023-01-11,5.955231422219227,6.5,6.5,-0.5154915211016201,-1.0804287269094828,1.493431333292776
2022-03-17,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-17,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-18,ACPI-22,2023-01-11,6.3102189781021885,6.5,6.5,-0.16525423728813599,-0.9421485796011573,1.9688493437760846
2022-03-18,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-18,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-19,ACPI-22,2023-01-11,6.3102189781021885,6.5,6.5,-0.16525423728813599,-0.9421485796011573,1.9688493437760846
2022-03-19,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-19,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-20,ACPI-22,2023-01-11,6.3102189781021885,6.5,6.5,-0.16525423728813599,-0.9421485796011573,1.9688493437760846
2022-03-20,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-20,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-21,ACPI-22,2023-01-11,6.094810379241518,6.5,6.5,-0.3168024969654932,-1.0809781562248169,2.293350756902695
2022-03-21,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-21,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-22,ACPI-22,2023-01-11,6.160465552723115,6.5,6.5,-0.2717764210610028,-1.0068283327040646,2.2787452953953364
2022-03-22,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-22,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-23,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-23,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-23,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-24,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-24,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-24,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-25,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-25,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-25,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-26,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-26,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-26,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-27,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-27,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-27,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
2022-03-28,ACPI-22,2023-01-11,6.112693429019959,6.5,6.5,-0.3047467796012002,-1.0630873047523706,2.2902268562272865
2022-03-28,ACPI-23,2024-01-09,6.570236453781696,6.5,6.5,0.4319488570321541,14.455444948755357,0.27480103496406133
2022-03-28,ACPI-24,2025-01-13,3.590435486179148,3.5,3.5,0.5803882089051415,14.126575263609212,0.3541977176843799
